VARIABLE,REGION,INTERCONNECTION,FUEL,YEAR,VALUE
InterUndiscountedTradeCost,EL54,ALBANIA,GRBiomass,2040,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,GRBiomass,2045,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,GRBiomass,2050,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,GRGas,2023,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,GRGas,2025,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,GRGas,2030,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,GRGas,2035,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,GRGas,2040,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,GRGas,2045,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,GRGas,2050,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,GRLignite,2023,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,GRLignite,2025,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,GRLignite,2030,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,GRLignite,2035,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,GRLignite,2040,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,GRLignite,2045,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,GRLignite,2050,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,GROil,2023,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,GROil,2025,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,GROil,2030,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,GROil,2035,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,GROil,2040,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,GROil,2045,0.0
InterUndiscountedTradeCost,EL54,ALBANIA,GROil,2050,0.0
InterUndiscountedTradeCost,EL54,ITALY,Elec_Demand,2023,0.0
InterUndiscountedTradeCost,EL54,ITALY,Elec_Demand,2025,0.0
InterUndiscountedTradeCost,EL54,ITALY,Elec_Demand,2030,0.0
InterUndiscountedTradeCost,EL54,ITALY,Elec_Demand,2035,0.0
InterUndiscountedTradeCost,EL54,ITALY,Elec_Demand,2040,0.0
InterUndiscountedTradeCost,EL54,ITALY,Elec_Demand,2045,0.0
InterUndiscountedTradeCost,EL54,ITALY,Elec_Demand,2050,0.0
InterUndiscountedTradeCost,EL54,ITALY,Elec_Storage,2023,0.0
InterUndiscountedTradeCost,EL54,ITALY,Elec_Storage,2025,0.0
InterUndiscountedTradeCost,EL54,ITALY,Elec_Storage,2030,0.0
InterUndiscountedTradeCost,EL54,ITALY,Elec_Storage,2035,0.0
InterUndiscountedTradeCost,EL54,ITALY,Elec_Storage,2040,0.0
InterUndiscountedTradeCost,EL54,ITALY,Elec_Storage,2045,0.0
InterUndiscountedTradeCost,EL54,ITALY,Elec_Storage,2050,0.0
InterUndiscountedTradeCost,EL54,ITALY,Elec_Transmission,2023,-153.37319454543805
InterUndiscountedTradeCost,EL54,ITALY,Elec_Transmission,2025,-365.53061710271993
InterUndiscountedTradeCost,EL54,ITALY,Elec_Transmission,2030,-373.98022941869624
InterUndiscountedTradeCost,EL54,ITALY,Elec_Transmission,2035,-392.51650669447275
InterUndiscountedTradeCost,EL54,ITALY,Elec_Transmission,2040,-418.27434773057473
InterUndiscountedTradeCost,EL54,ITALY,Elec_Transmission,2045,-425.8169278306139
InterUndiscountedTradeCost,EL54,ITALY,Elec_Transmission,2050,-447.96779011529264
InterUndiscountedTradeCost,EL54,ITALY,GRBiomass,2023,0.0
InterUndiscountedTradeCost,EL54,ITALY,GRBiomass,2025,0.0
InterUndiscountedTradeCost,EL54,ITALY,GRBiomass,2030,0.0
InterUndiscountedTradeCost,EL54,ITALY,GRBiomass,2035,0.0
InterUndiscountedTradeCost,EL54,ITALY,GRBiomass,2040,0.0
InterUndiscountedTradeCost,EL54,ITALY,GRBiomass,2045,0.0
InterUndiscountedTradeCost,EL54,ITALY,GRBiomass,2050,0.0
InterUndiscountedTradeCost,EL54,ITALY,GRGas,2023,0.0
InterUndiscountedTradeCost,EL54,ITALY,GRGas,2025,0.0
InterUndiscountedTradeCost,EL54,ITALY,GRGas,2030,0.0
InterUndiscountedTradeCost,EL54,ITALY,GRGas,2035,0.0
InterUndiscountedTradeCost,EL54,ITALY,GRGas,2040,0.0
InterUndiscountedTradeCost,EL54,ITALY,GRGas,2045,0.0
InterUndiscountedTradeCost,EL54,ITALY,GRGas,2050,0.0
InterUndiscountedTradeCost,EL54,ITALY,GRLignite,2023,0.0
InterUndiscountedTradeCost,EL54,ITALY,GRLignite,2025,0.0
InterUndiscountedTradeCost,EL54,ITALY,GRLignite,2030,0.0
InterUndiscountedTradeCost,EL54,ITALY,GRLignite,2035,0.0
