VARIABLE,REGION,INTERCONNECTION,FUEL,YEAR,VALUE
InterDiscountedTradeCost,EL52,BULGARIA,GRLignite,2035,0.0
InterDiscountedTradeCost,EL52,BULGARIA,GRLignite,2040,0.0
InterDiscountedTradeCost,EL52,BULGARIA,GRLignite,2045,0.0
InterDiscountedTradeCost,EL52,BULGARIA,GRLignite,2050,0.0
InterDiscountedTradeCost,EL52,BULGARIA,GROil,2023,0.0
InterDiscountedTradeCost,EL52,BULGARIA,GROil,2025,0.0
InterDiscountedTradeCost,EL52,BULGARIA,GROil,2030,0.0
InterDiscountedTradeCost,EL52,BULGARIA,GROil,2035,0.0
InterDiscountedTradeCost,EL52,BULGARIA,GROil,2040,0.0
InterDiscountedTradeCost,EL52,BULGARIA,GROil,2045,0.0
InterDiscountedTradeCost,EL52,BULGARIA,GROil,2050,0.0
InterDiscountedTradeCost,EL53,ALBANIA,Elec_Demand,2023,0.0
InterDiscountedTradeCost,EL53,ALBANIA,Elec_Demand,2025,0.0
InterDiscountedTradeCost,EL53,ALBANIA,Elec_Demand,2030,0.0
InterDiscountedTradeCost,EL53,ALBANIA,Elec_Demand,2035,0.0
InterDiscountedTradeCost,EL53,ALBANIA,Elec_Demand,2040,0.0
InterDiscountedTradeCost,EL53,ALBANIA,Elec_Demand,2045,0.0
InterDiscountedTradeCost,EL53,ALBANIA,Elec_Demand,2050,0.0
InterDiscountedTradeCost,EL53,ALBANIA,Elec_Storage,2023,0.0
InterDiscountedTradeCost,EL53,ALBANIA,Elec_Storage,2025,0.0
InterDiscountedTradeCost,EL53,ALBANIA,Elec_Storage,2030,0.0
InterDiscountedTradeCost,EL53,ALBANIA,Elec_Storage,2035,0.0
InterDiscountedTradeCost,EL53,ALBANIA,Elec_Storage,2040,0.0
InterDiscountedTradeCost,EL53,ALBANIA,Elec_Storage,2045,0.0
InterDiscountedTradeCost,EL53,ALBANIA,Elec_Storage,2050,0.0
InterDiscountedTradeCost,EL53,ALBANIA,Elec_Transmission,2023,-286.3799612393323
InterDiscountedTradeCost,EL53,ALBANIA,Elec_Transmission,2025,-388.6153295584368
InterDiscountedTradeCost,EL53,ALBANIA,Elec_Transmission,2030,-255.2755238224079
InterDiscountedTradeCost,EL53,ALBANIA,Elec_Transmission,2035,-174.99048959669716
InterDiscountedTradeCost,EL53,ALBANIA,Elec_Transmission,2040,-105.3764489088794
InterDiscountedTradeCost,EL53,ALBANIA,Elec_Transmission,2045,-70.50506057485057
InterDiscountedTradeCost,EL53,ALBANIA,Elec_Transmission,2050,-61.76512666033143
InterDiscountedTradeCost,EL53,ALBANIA,GRBiomass,2023,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GRBiomass,2025,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GRBiomass,2030,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GRBiomass,2035,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GRBiomass,2040,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GRBiomass,2045,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GRBiomass,2050,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GRGas,2023,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GRGas,2025,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GRGas,2030,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GRGas,2035,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GRGas,2040,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GRGas,2045,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GRGas,2050,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GRLignite,2023,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GRLignite,2025,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GRLignite,2030,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GRLignite,2035,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GRLignite,2040,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GRLignite,2045,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GRLignite,2050,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GROil,2023,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GROil,2025,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GROil,2030,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GROil,2035,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GROil,2040,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GROil,2045,0.0
InterDiscountedTradeCost,EL53,ALBANIA,GROil,2050,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,Elec_Demand,2023,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,Elec_Demand,2025,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,Elec_Demand,2030,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,Elec_Demand,2035,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,Elec_Demand,2040,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,Elec_Demand,2045,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,Elec_Demand,2050,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,Elec_Storage,2023,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,Elec_Storage,2025,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,Elec_Storage,2030,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,Elec_Storage,2035,0.0
InterDiscountedTradeCost,EL53,NORTH_MACEDONIA,Elec_Storage,2040,0.0
