REGION,FUEL,TIMESLICE,YEAR,VALUE
Greece,Elec_Demand,m3_d1_t19,2023,0.000147019
Greece,Elec_Demand,m3_d1_t20,2023,0.000138502
Greece,Elec_Demand,m3_d1_t21,2023,0.000126867
Greece,Elec_Demand,m3_d1_t22,2023,0.000116544
Greece,Elec_Demand,m3_d1_t23,2023,0.000104673
Greece,Elec_Demand,m3_d1_t24,2023,9.89E-05
Greece,Elec_Demand,m3_d2_t1,2023,8.36E-05
Greece,Elec_Demand,m3_d2_t2,2023,8.19E-05
Greece,Elec_Demand,m3_d2_t3,2023,8.06E-05
Greece,Elec_Demand,m3_d2_t4,2023,8.17E-05
Greece,Elec_Demand,m3_d2_t5,2023,8.28E-05
Greece,Elec_Demand,m3_d2_t6,2023,8.52E-05
Greece,Elec_Demand,m3_d2_t7,2023,9.15E-05
Greece,Elec_Demand,m3_d2_t8,2023,9.94E-05
Greece,Elec_Demand,m3_d2_t9,2023,0.000104931
Greece,Elec_Demand,m3_d2_t10,2023,0.000109211
Greece,Elec_Demand,m3_d2_t11,2023,0.000111404
Greece,Elec_Demand,m3_d2_t12,2023,0.000110458
Greece,Elec_Demand,m3_d2_t13,2023,0.000103425
Greece,Elec_Demand,m3_d2_t14,2023,9.99E-05
Greece,Elec_Demand,m3_d2_t15,2023,9.78E-05
Greece,Elec_Demand,m3_d2_t16,2023,9.96E-05
Greece,Elec_Demand,m3_d2_t17,2023,0.000107425
Greece,Elec_Demand,m3_d2_t18,2023,0.000117448
Greece,Elec_Demand,m3_d2_t19,2023,0.000117835
Greece,Elec_Demand,m3_d2_t20,2023,0.000114587
Greece,Elec_Demand,m3_d2_t21,2023,0.000108135
Greece,Elec_Demand,m3_d2_t22,2023,9.96E-05
Greece,Elec_Demand,m3_d2_t23,2023,9.05E-05
Greece,Elec_Demand,m3_d2_t24,2023,8.27E-05
Greece,Elec_Demand,m3_d3_t1,2023,9.20E-05
Greece,Elec_Demand,m3_d3_t2,2023,8.85E-05
Greece,Elec_Demand,m3_d3_t3,2023,8.63E-05
Greece,Elec_Demand,m3_d3_t4,2023,8.76E-05
Greece,Elec_Demand,m3_d3_t5,2023,8.90E-05
Greece,Elec_Demand,m3_d3_t6,2023,9.39E-05
Greece,Elec_Demand,m3_d3_t7,2023,9.90E-05
Greece,Elec_Demand,m3_d3_t8,2023,0.000105468
Greece,Elec_Demand,m3_d3_t9,2023,0.000110608
Greece,Elec_Demand,m3_d3_t10,2023,0.00011491
Greece,Elec_Demand,m3_d3_t11,2023,0.000115792
Greece,Elec_Demand,m3_d3_t12,2023,0.000113877
Greece,Elec_Demand,m3_d3_t13,2023,0.000107511
Greece,Elec_Demand,m3_d3_t14,2023,0.000105232
