REGION,INTERCONNECTION,TIMESLICE,YEAR,VALUE
Greece,ALBANIA,m3_d5_t8,2023,14.53985097
Greece,ALBANIA,m3_d5_t9,2023,12.29091284
Greece,ALBANIA,m3_d5_t10,2023,9.846797123
Greece,ALBANIA,m3_d5_t11,2023,9.54084307
Greece,ALBANIA,m3_d5_t12,2023,9.139937758
Greece,ALBANIA,m3_d5_t13,2023,7.895021265
Greece,ALBANIA,m3_d5_t14,2023,12.63555074
Greece,ALBANIA,m3_d5_t15,2023,13.59209674
Greece,ALBANIA,m3_d5_t16,2023,17.28992073
Greece,ALBANIA,m3_d5_t17,2023,19.35598977
Greece,ALBANIA,m3_d5_t18,2023,27.25452775
Greece,ALBANIA,m3_d5_t19,2023,30.26835101
Greece,ALBANIA,m3_d5_t20,2023,25.5823306
Greece,ALBANIA,m3_d5_t21,2023,18.14096534
Greece,ALBANIA,m3_d5_t22,2023,15.32935309
Greece,ALBANIA,m3_d5_t23,2023,12.82193654
Greece,ALBANIA,m3_d5_t24,2023,15.97642833
Greece,ALBANIA,m4_d1_t1,2023,19.13092013
Greece,ALBANIA,m4_d1_t2,2023,18.37482677
Greece,ALBANIA,m4_d1_t3,2023,8.229109024
Greece,ALBANIA,m4_d1_t4,2023,6.781981519
Greece,ALBANIA,m4_d1_t5,2023,5.640808066
Greece,ALBANIA,m4_d1_t6,2023,5.545856808
Greece,ALBANIA,m4_d1_t7,2023,7.617200917
Greece,ALBANIA,m4_d1_t8,2023,11.52778606
Greece,ALBANIA,m4_d1_t9,2023,8.007556089
Greece,ALBANIA,m4_d1_t10,2023,3.377803085
Greece,ALBANIA,m4_d1_t11,2023,1.758356629
Greece,ALBANIA,m4_d1_t12,2023,3.377803085
Greece,ALBANIA,m4_d1_t13,2023,3.377803085
Greece,ALBANIA,m4_d1_t14,2023,3.973885982
Greece,ALBANIA,m4_d1_t15,2023,3.973885982
Greece,ALBANIA,m4_d1_t16,2023,3.973885982
Greece,ALBANIA,m4_d1_t17,2023,35.20933314
Greece,ALBANIA,m4_d1_t18,2023,19.14850369
Greece,ALBANIA,m4_d1_t19,2023,20.4496876
Greece,ALBANIA,m4_d1_t20,2023,35.20229972
Greece,ALBANIA,m4_d1_t21,2023,35.23395013
Greece,ALBANIA,m4_d1_t22,2023,23.50922813
Greece,ALBANIA,m4_d1_t23,2023,21.82120577
Greece,ALBANIA,m4_d1_t24,2023,35.28318412
Greece,ALBANIA,m4_d2_t1,2023,300391.3665
Greece,ALBANIA,m4_d2_t2,2023,300391.3665
Greece,ALBANIA,m4_d2_t3,2023,300391.3665
Greece,ALBANIA,m4_d2_t4,2023,300391.3665
Greece,ALBANIA,m4_d2_t5,2023,300391.3665
Greece,ALBANIA,m4_d2_t6,2023,300391.3665
Greece,ALBANIA,m4_d2_t7,2023,300391.3665
Greece,ALBANIA,m4_d2_t8,2023,300391.3665
Greece,ALBANIA,m4_d2_t9,2023,300391.3665
Greece,ALBANIA,m4_d2_t10,2023,300391.3665
Greece,ALBANIA,m4_d2_t11,2023,300391.3665
Greece,ALBANIA,m4_d2_t12,2023,300391.3665
Greece,ALBANIA,m4_d2_t13,2023,300391.3665
Greece,ALBANIA,m4_d2_t14,2023,300391.3665
Greece,ALBANIA,m4_d2_t15,2023,300391.3665
Greece,ALBANIA,m4_d2_t16,2023,300391.3665
Greece,ALBANIA,m4_d2_t17,2023,300391.3665
Greece,ALBANIA,m4_d2_t18,2023,300391.3665
Greece,ALBANIA,m4_d2_t19,2023,300391.3665
Greece,ALBANIA,m4_d2_t20,2023,300391.3665
Greece,ALBANIA,m4_d2_t21,2023,300391.3665
Greece,ALBANIA,m4_d2_t22,2023,300391.3665
Greece,ALBANIA,m4_d2_t23,2023,300391.3665
Greece,ALBANIA,m4_d2_t24,2023,300391.3665
Greece,ALBANIA,m4_d3_t1,2023,17.12639357
Greece,ALBANIA,m4_d3_t2,2023,15.68454113
Greece,ALBANIA,m4_d3_t3,2023,15.05153275
Greece,ALBANIA,m4_d3_t4,2023,14.75261212
Greece,ALBANIA,m4_d3_t5,2023,15.01636561
Greece,ALBANIA,m4_d3_t6,2023,16.54965259
Greece,ALBANIA,m4_d3_t7,2023,18.76166523
Greece,ALBANIA,m4_d3_t8,2023,20.16835054
Greece,ALBANIA,m4_d3_t9,2023,17.82973622
Greece,ALBANIA,m4_d3_t10,2023,16.26655718
Greece,ALBANIA,m4_d3_t11,2023,10.72597544
Greece,ALBANIA,m4_d3_t12,2023,9.444133455
