REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
EL54,Biomass_Ex,Elec_Transmission,1,2030,1
EL54,Biomass_Ex,Elec_Transmission,1,2035,1
EL54,Biomass_Ex,Elec_Transmission,1,2040,1
EL54,Biomass_Ex,Elec_Transmission,1,2045,1
EL54,Biomass_Ex,Elec_Transmission,1,2050,1
EL54,BiomassImports,GRBiomass,1,2023,1
EL54,BiomassImports,GRBiomass,1,2025,1
EL54,BiomassImports,GRBiomass,1,2030,1
EL54,BiomassImports,GRBiomass,1,2035,1
EL54,BiomassImports,GRBiomass,1,2040,1
EL54,BiomassImports,GRBiomass,1,2045,1
EL54,BiomassImports,GRBiomass,1,2050,1
EL54,BiomassProduction,GRBiomass,1,2023,1
EL54,BiomassProduction,GRBiomass,1,2025,1
EL54,BiomassProduction,GRBiomass,1,2030,1
EL54,BiomassProduction,GRBiomass,1,2035,1
EL54,BiomassProduction,GRBiomass,1,2040,1
EL54,BiomassProduction,GRBiomass,1,2045,1
EL54,BiomassProduction,GRBiomass,1,2050,1
EL54,CCGT,Elec_Transmission,1,2023,1
EL54,CCGT,Elec_Transmission,1,2025,1
EL54,CCGT,Elec_Transmission,1,2030,1
EL54,CCGT,Elec_Transmission,1,2035,1
EL54,CCGT,Elec_Transmission,1,2040,1
EL54,CCGT,Elec_Transmission,1,2045,1
EL54,CCGT,Elec_Transmission,1,2050,1
EL61,Batteries_New,Elec_Transmission,2,2023,1
EL61,Batteries_New,Elec_Storage,1,2023,1
EL61,Batteries_New,Elec_Transmission,2,2025,1
EL61,Batteries_New,Elec_Storage,1,2025,1
EL61,Batteries_New,Elec_Transmission,2,2030,1
EL61,Batteries_New,Elec_Storage,1,2030,1
EL61,Batteries_New,Elec_Transmission,2,2035,1
EL61,Batteries_New,Elec_Storage,1,2035,1
EL61,Batteries_New,Elec_Transmission,2,2040,1
EL61,Batteries_New,Elec_Storage,1,2040,1
EL61,Batteries_New,Elec_Transmission,2,2045,1
EL61,Batteries_New,Elec_Storage,1,2045,1
EL61,Batteries_New,Elec_Transmission,2,2050,1
EL61,Batteries_New,Elec_Storage,1,2050,1
EL61,Biomass,Elec_Transmission,1,2023,1
EL61,Biomass,Elec_Transmission,1,2025,1
EL61,Biomass,Elec_Transmission,1,2030,1
EL61,Biomass,Elec_Transmission,1,2035,1
EL61,Biomass,Elec_Transmission,1,2040,1
EL61,Biomass,Elec_Transmission,1,2045,1
EL61,Biomass,Elec_Transmission,1,2050,1
EL61,Biomass_CCS,Elec_Transmission,1,2023,1
EL61,Biomass_CCS,Elec_Transmission,1,2025,1
EL61,Biomass_CCS,Elec_Transmission,1,2030,1
EL61,Biomass_CCS,Elec_Transmission,1,2035,1
EL61,Biomass_CCS,Elec_Transmission,1,2040,1
EL61,Biomass_CCS,Elec_Transmission,1,2045,1
EL61,Biomass_CCS,Elec_Transmission,1,2050,1
EL61,Biomass_Ex,Elec_Transmission,1,2023,1
EL61,Biomass_Ex,Elec_Transmission,1,2025,1
EL61,Biomass_Ex,Elec_Transmission,1,2030,1
EL61,Biomass_Ex,Elec_Transmission,1,2035,1
EL61,Biomass_Ex,Elec_Transmission,1,2040,1
EL61,Biomass_Ex,Elec_Transmission,1,2045,1
EL61,Biomass_Ex,Elec_Transmission,1,2050,1
EL61,BiomassImports,GRBiomass,1,2023,1
EL61,BiomassImports,GRBiomass,1,2025,1
EL61,BiomassImports,GRBiomass,1,2030,1
EL61,BiomassImports,GRBiomass,1,2035,1
EL61,BiomassImports,GRBiomass,1,2040,1
EL61,BiomassImports,GRBiomass,1,2045,1
EL61,BiomassImports,GRBiomass,1,2050,1
EL61,BiomassProduction,GRBiomass,1,2023,1
EL61,BiomassProduction,GRBiomass,1,2025,1
EL61,BiomassProduction,GRBiomass,1,2030,1
EL61,BiomassProduction,GRBiomass,1,2035,1
EL61,BiomassProduction,GRBiomass,1,2040,1
EL61,BiomassProduction,GRBiomass,1,2045,1
EL61,BiomassProduction,GRBiomass,1,2050,1
EL61,CCGT,Elec_Transmission,1,2023,1
EL61,CCGT,Elec_Transmission,1,2025,1
EL61,CCGT,Elec_Transmission,1,2030,1
EL61,CCGT,Elec_Transmission,1,2035,1
EL61,CCGT,Elec_Transmission,1,2040,1
EL61,CCGT,Elec_Transmission,1,2045,1
EL61,CCGT,Elec_Transmission,1,2050,1
EL62,Batteries_New,Elec_Transmission,2,2023,1
EL62,Batteries_New,Elec_Storage,1,2023,1
EL62,Batteries_New,Elec_Transmission,2,2025,1
EL62,Batteries_New,Elec_Storage,1,2025,1
EL62,Batteries_New,Elec_Transmission,2,2030,1
EL62,Batteries_New,Elec_Storage,1,2030,1
EL62,Batteries_New,Elec_Transmission,2,2035,1
EL62,Batteries_New,Elec_Storage,1,2035,1
EL62,Batteries_New,Elec_Transmission,2,2040,1
EL62,Batteries_New,Elec_Storage,1,2040,1
EL62,Batteries_New,Elec_Transmission,2,2045,1
EL62,Batteries_New,Elec_Storage,1,2045,1
EL62,Batteries_New,Elec_Transmission,2,2050,1
EL62,Batteries_New,Elec_Storage,1,2050,1
EL62,Biomass,Elec_Transmission,1,2023,1
