REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
EL54,Biomass_Ex,1,2040,1.05
EL54,Biomass_Ex,1,2045,1.05
EL54,Biomass_Ex,1,2050,1.05
EL61,Biomass_Ex,1,2023,1.05
EL61,Biomass_Ex,1,2025,1.05
EL61,Biomass_Ex,1,2030,1.05
EL61,Biomass_Ex,1,2035,1.05
EL61,Biomass_Ex,1,2040,1.05
EL61,Biomass_Ex,1,2045,1.05
EL61,Biomass_Ex,1,2050,1.05
EL62,Biomass_Ex,1,2023,1.05
EL62,Biomass_Ex,1,2025,1.05
EL62,Biomass_Ex,1,2030,1.05
EL62,Biomass_Ex,1,2035,1.05
EL62,Biomass_Ex,1,2040,1.05
EL62,Biomass_Ex,1,2045,1.05
EL62,Biomass_Ex,1,2050,1.05
EL63,Biomass_Ex,1,2023,1.05
EL63,Biomass_Ex,1,2025,1.05
EL63,Biomass_Ex,1,2030,1.05
EL63,Biomass_Ex,1,2035,1.05
EL63,Biomass_Ex,1,2040,1.05
EL63,Biomass_Ex,1,2045,1.05
EL63,Biomass_Ex,1,2050,1.05
EL64,Biomass_Ex,1,2023,1.05
EL64,Biomass_Ex,1,2025,1.05
EL64,Biomass_Ex,1,2030,1.05
EL64,Biomass_Ex,1,2035,1.05
EL64,Biomass_Ex,1,2040,1.05
EL64,Biomass_Ex,1,2045,1.05
EL64,Biomass_Ex,1,2050,1.05
EL30,Biomass_Ex,1,2023,1.05
EL30,Biomass_Ex,1,2025,1.05
EL30,Biomass_Ex,1,2030,1.05
EL30,Biomass_Ex,1,2035,1.05
EL30,Biomass_Ex,1,2040,1.05
EL30,Biomass_Ex,1,2045,1.05
EL30,Biomass_Ex,1,2050,1.05
EL65,Biomass_Ex,1,2023,1.05
EL65,Biomass_Ex,1,2025,1.05
EL65,Biomass_Ex,1,2030,1.05
EL65,Biomass_Ex,1,2035,1.05
EL65,Biomass_Ex,1,2040,1.05
EL65,Biomass_Ex,1,2045,1.05
EL65,Biomass_Ex,1,2050,1.05
