REGION,TECHNOLOGY,YEAR,VALUE
EL61,HydroStor,2050,2650
EL61,OCGT,2023,500
EL61,OCGT,2025,500
EL61,OCGT,2030,500
EL61,OCGT,2035,500
EL61,OCGT,2040,500
EL61,OCGT,2045,500
EL61,OCGT,2050,500
EL61,OffshoreWind,2023,3120
EL61,OffshoreWind,2025,2840
EL61,OffshoreWind,2030,2140
EL61,OffshoreWind,2035,1965
EL61,OffshoreWind,2040,1790
EL61,OffshoreWind,2045,1615
EL61,OffshoreWind,2050,1440
EL61,PV,2023,750
EL61,PV,2025,667
EL61,PV,2030,460
EL61,PV,2035,425
EL61,PV,2040,390
EL61,PV,2045,355
EL61,PV,2050,320
EL61,RooftopPV,2023,1255
EL61,RooftopPV,2025,1125
EL61,RooftopPV,2030,800
EL61,RooftopPV,2035,743
EL61,RooftopPV,2040,685
EL61,RooftopPV,2045,628
EL61,RooftopPV,2050,570
EL61,RoR,2023,3900
EL61,RoR,2025,3900
EL61,RoR,2030,3900
EL61,RoR,2035,3888
EL61,RoR,2040,3875
EL61,RoR,2045,3863
EL61,RoR,2050,3850
EL61,Wind,2023,1630
EL61,Wind,2025,1601
EL61,Wind,2030,1530
EL61,Wind,2035,1509
EL61,Wind,2040,1487
EL61,Wind,2045,1466
EL61,Wind,2050,1444
EL62,BackStop,2023,99999
EL62,BackStop,2025,99999
EL62,BackStop,2030,99999
EL62,BackStop,2035,99999
EL62,BackStop,2040,99999
EL62,BackStop,2045,99999
EL62,BackStop,2050,99999
EL62,Batteries_New,2023,359.2827058
EL62,Batteries_New,2025,311.3593197
EL62,Batteries_New,2030,317.3839866
EL62,Batteries_New,2035,306.440749
EL62,Batteries_New,2040,295.0258889
EL62,Batteries_New,2045,283.0305775
EL62,Batteries_New,2050,270.3097124
EL62,Biomass,2023,2387.5
EL62,Biomass,2025,2362.5
EL62,Biomass,2030,2300
EL62,Biomass,2035,2275
EL62,Biomass,2040,2250
EL62,Biomass,2045,2225
EL62,Biomass,2050,2200
EL62,Biomass_CCS,2023,5675
EL62,Biomass_CCS,2025,5450
EL62,Biomass_CCS,2030,5150
EL62,Biomass_CCS,2035,4913
EL62,Biomass_CCS,2040,4675
EL62,Biomass_CCS,2045,4438
EL62,Biomass_CCS,2050,4200
EL62,CCGT,2023,1000
EL62,CCGT,2025,1000
EL62,CCGT,2030,1000
EL62,CCGT,2035,1000
EL62,CCGT,2040,1000
EL62,CCGT,2045,1000
EL62,CCGT,2050,1000
EL62,Elec_Network,2023,994.51
EL62,Elec_Network,2025,994.51
EL62,Elec_Network,2030,994.51
EL62,Elec_Network,2035,994.51
EL62,Elec_Network,2040,994.51
EL62,Elec_Network,2045,994.51
EL62,Elec_Network,2050,994.51
EL62,Gas_CCS,2023,3019
EL62,Gas_CCS,2025,2856
EL62,Gas_CCS,2030,2450
EL62,Gas_CCS,2035,2363
EL62,Gas_CCS,2040,2275
EL62,Gas_CCS,2045,2188
EL62,Gas_CCS,2050,2100
EL62,Geothermal_HI,2023,2825
EL62,Geothermal_HI,2025,2775
EL62,Geothermal_HI,2030,2650
EL62,Geothermal_HI,2035,2600
EL62,Geothermal_HI,2040,2550
EL62,Geothermal_HI,2045,2500
EL62,Geothermal_HI,2050,2450
EL62,Geothermal_ME,2023,2675
EL62,Geothermal_ME,2025,2751
EL62,Geothermal_ME,2030,2940
EL62,Geothermal_ME,2035,2953
EL62,Geothermal_ME,2040,2968
EL62,Geothermal_ME,2045,2982
EL62,Geothermal_ME,2050,2996
EL62,HydroStor,2023,2650
EL62,HydroStor,2025,2650
EL62,HydroStor,2030,2650
EL62,HydroStor,2035,2650
EL62,HydroStor,2040,2650
EL62,HydroStor,2045,2650
EL62,HydroStor,2050,2650
EL62,OCGT,2023,500
EL62,OCGT,2025,500
EL62,OCGT,2030,500
EL62,OCGT,2035,500
EL62,OCGT,2040,500
EL62,OCGT,2045,500
EL62,OCGT,2050,500
EL62,OffshoreWind,2023,3120
EL62,OffshoreWind,2025,2840
EL62,OffshoreWind,2030,2140
EL62,OffshoreWind,2035,1965
EL62,OffshoreWind,2040,1790
EL62,OffshoreWind,2045,1615
EL62,OffshoreWind,2050,1440
EL62,PV,2023,750
EL62,PV,2025,667
EL62,PV,2030,460
EL62,PV,2035,425
EL62,PV,2040,390
EL62,PV,2045,355
EL62,PV,2050,320
EL62,RooftopPV,2023,1255
EL62,RooftopPV,2025,1125
EL62,RooftopPV,2030,800
EL62,RooftopPV,2035,743
EL62,RooftopPV,2040,685
EL62,RooftopPV,2045,628
EL62,RooftopPV,2050,570
EL62,RoR,2023,3900
EL62,RoR,2025,3900
EL62,RoR,2030,3900
EL62,RoR,2035,3888
EL62,RoR,2040,3875
EL62,RoR,2045,3863
EL62,RoR,2050,3850
EL62,Wind,2023,1630
EL62,Wind,2025,1601
EL62,Wind,2030,1530
EL62,Wind,2035,1509
EL62,Wind,2040,1487
EL62,Wind,2045,1466
EL62,Wind,2050,1444
EL63,BackStop,2023,99999
EL63,BackStop,2025,99999
EL63,BackStop,2030,99999
EL63,BackStop,2035,99999
EL63,BackStop,2040,99999
EL63,BackStop,2045,99999
EL63,BackStop,2050,99999
EL63,Batteries_New,2023,359.2827058
EL63,Batteries_New,2025,311.3593197
EL63,Batteries_New,2030,317.3839866
EL63,Batteries_New,2035,306.440749
EL63,Batteries_New,2040,295.0258889
EL63,Batteries_New,2045,283.0305775
EL63,Batteries_New,2050,270.3097124
EL63,Biomass,2023,2387.5
EL63,Biomass,2025,2362.5
EL63,Biomass,2030,2300
EL63,Biomass,2035,2275
EL63,Biomass,2040,2250
EL63,Biomass,2045,2225
EL63,Biomass,2050,2200
EL63,Biomass_CCS,2023,5675
EL63,Biomass_CCS,2025,5450
EL63,Biomass_CCS,2030,5150
EL63,Biomass_CCS,2035,4913
EL63,Biomass_CCS,2040,4675
EL63,Biomass_CCS,2045,4438
EL63,Biomass_CCS,2050,4200
EL63,CCGT,2023,1000
EL63,CCGT,2025,1000
EL63,CCGT,2030,1000
EL63,CCGT,2035,1000
EL63,CCGT,2040,1000
EL63,CCGT,2045,1000
EL63,CCGT,2050,1000
EL63,Elec_Network,2023,994.51
EL63,Elec_Network,2025,994.51
EL63,Elec_Network,2030,994.51
EL63,Elec_Network,2035,994.51
EL63,Elec_Network,2040,994.51
EL63,Elec_Network,2045,994.51
EL63,Elec_Network,2050,994.51
EL63,Gas_CCS,2023,3019
EL63,Gas_CCS,2025,2856
EL63,Gas_CCS,2030,2450
EL63,Gas_CCS,2035,2363
EL63,Gas_CCS,2040,2275
EL63,Gas_CCS,2045,2188
EL63,Gas_CCS,2050,2100
EL63,Geothermal_HI,2023,2825
EL63,Geothermal_HI,2025,2775
EL63,Geothermal_HI,2030,2650
EL63,Geothermal_HI,2035,2600
EL63,Geothermal_HI,2040,2550
EL63,Geothermal_HI,2045,2500
EL63,Geothermal_HI,2050,2450
EL63,Geothermal_ME,2023,2675
EL63,Geothermal_ME,2025,2751
EL63,Geothermal_ME,2030,2940
EL63,Geothermal_ME,2035,2953
EL63,Geothermal_ME,2040,2968
EL63,Geothermal_ME,2045,2982
EL63,Geothermal_ME,2050,2996
EL63,HydroStor,2023,2650
EL63,HydroStor,2025,2650
EL63,HydroStor,2030,2650
EL63,HydroStor,2035,2650
EL63,HydroStor,2040,2650
EL63,HydroStor,2045,2650
EL63,HydroStor,2050,2650
EL63,OCGT,2023,500
EL63,OCGT,2025,500
EL63,OCGT,2030,500
EL63,OCGT,2035,500
EL63,OCGT,2040,500
EL63,OCGT,2045,500
EL63,OCGT,2050,500
EL63,OffshoreWind,2023,3120
EL63,OffshoreWind,2025,2840
EL63,OffshoreWind,2030,2140
EL63,OffshoreWind,2035,1965
EL63,OffshoreWind,2040,1790
EL63,OffshoreWind,2045,1615
EL63,OffshoreWind,2050,1440
EL63,PV,2023,750
EL63,PV,2025,667
EL63,PV,2030,460
EL63,PV,2035,425
EL63,PV,2040,390
EL63,PV,2045,355
EL63,PV,2050,320
EL63,RooftopPV,2023,1255
EL63,RooftopPV,2025,1125
EL63,RooftopPV,2030,800
EL63,RooftopPV,2035,743
EL63,RooftopPV,2040,685
EL63,RooftopPV,2045,628
EL63,RooftopPV,2050,570
EL63,RoR,2023,3900
EL63,RoR,2025,3900
EL63,RoR,2030,3900
EL63,RoR,2035,3888
EL63,RoR,2040,3875
EL63,RoR,2045,3863
EL63,RoR,2050,3850
EL63,Wind,2023,1630
EL63,Wind,2025,1601
EL63,Wind,2030,1530
EL63,Wind,2035,1509
EL63,Wind,2040,1487
EL63,Wind,2045,1466
EL63,Wind,2050,1444
