REGION,TECHNOLOGY,YEAR,VALUE
EL65,Geothermal_ME,2030,0.035
EL65,Geothermal_ME,2035,0.035
EL65,Geothermal_ME,2040,0.035
EL65,Geothermal_ME,2045,0.035
EL65,Geothermal_ME,2050,0.035
EL30,HydroStor,2023,0
EL30,HydroStor,2025,0
EL30,HydroStor,2030,0
EL30,HydroStor,2035,0
EL30,HydroStor,2040,0
EL30,HydroStor,2045,0
EL30,HydroStor,2050,0
EL51,HydroStor,2023,0.070725412
EL51,HydroStor,2025,0.070725412
EL51,HydroStor,2030,0.070725412
EL51,HydroStor,2035,0.070725412
EL51,HydroStor,2040,0.070725412
EL51,HydroStor,2045,0.070725412
EL51,HydroStor,2050,0.070725412
EL52,HydroStor,2023,0.107917223
EL52,HydroStor,2025,0.107917223
EL52,HydroStor,2030,0.107917223
EL52,HydroStor,2035,0.107917223
EL52,HydroStor,2040,0.107917223
EL52,HydroStor,2045,0.107917223
EL52,HydroStor,2050,0.107917223
EL53,HydroStor,2023,0.321922563
EL53,HydroStor,2025,0.321922563
EL53,HydroStor,2030,0.321922563
EL53,HydroStor,2035,0.321922563
EL53,HydroStor,2040,0.321922563
EL53,HydroStor,2045,0.321922563
EL53,HydroStor,2050,0.321922563
EL54,HydroStor,2023,0.331433912
EL54,HydroStor,2025,0.331433912
EL54,HydroStor,2030,0.331433912
EL54,HydroStor,2035,0.331433912
EL54,HydroStor,2040,0.331433912
EL54,HydroStor,2045,0.331433912
EL54,HydroStor,2050,0.331433912
EL61,HydroStor,2023,0.079200267
EL61,HydroStor,2025,0.079200267
EL61,HydroStor,2030,0.079200267
EL61,HydroStor,2035,0.079200267
EL61,HydroStor,2040,0.079200267
EL61,HydroStor,2045,0.079200267
EL61,HydroStor,2050,0.079200267
EL62,HydroStor,2023,0
EL62,HydroStor,2025,0
EL62,HydroStor,2030,0
EL62,HydroStor,2035,0
EL62,HydroStor,2040,0
EL62,HydroStor,2045,0
EL62,HydroStor,2050,0
EL63,HydroStor,2023,0.553121495
EL63,HydroStor,2025,0.553121495
EL63,HydroStor,2030,0.553121495
EL63,HydroStor,2035,0.553121495
EL63,HydroStor,2040,0.553121495
EL63,HydroStor,2045,0.553121495
EL63,HydroStor,2050,0.553121495
EL64,HydroStor,2023,0
EL64,HydroStor,2025,0
EL64,HydroStor,2030,0
EL64,HydroStor,2035,0
EL64,HydroStor,2040,0
EL64,HydroStor,2045,0
