REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
EL54,Geothermal_HI,CO2,1,2040,0.138888885
EL54,Geothermal_HI,CO2,1,2045,0.138888885
EL54,Geothermal_HI,CO2,1,2050,0.138888885
EL54,Geothermal_ME,CO2,1,2023,0.138888885
EL54,Geothermal_ME,CO2,1,2025,0.138888885
EL54,Geothermal_ME,CO2,1,2030,0.138888885
EL54,Geothermal_ME,CO2,1,2035,0.138888885
EL54,Geothermal_ME,CO2,1,2040,0.138888885
EL54,Geothermal_ME,CO2,1,2045,0.138888885
EL54,Geothermal_ME,CO2,1,2050,0.138888885
EL61,Gas_CCS,CO2,1,2023,0.0102
EL61,Gas_CCS,CO2,1,2025,0.0102
EL61,Gas_CCS,CO2,1,2030,0.0102
EL61,Gas_CCS,CO2,1,2035,0.0102
EL61,Gas_CCS,CO2,1,2040,0.0102
EL61,Gas_CCS,CO2,1,2045,0.0102
EL61,Gas_CCS,CO2,1,2050,0.0102
EL61,Geothermal_HI,CO2,1,2023,0.138888885
EL61,Geothermal_HI,CO2,1,2025,0.138888885
EL61,Geothermal_HI,CO2,1,2030,0.138888885
EL61,Geothermal_HI,CO2,1,2035,0.138888885
EL61,Geothermal_HI,CO2,1,2040,0.138888885
EL61,Geothermal_HI,CO2,1,2045,0.138888885
EL61,Geothermal_HI,CO2,1,2050,0.138888885
EL61,Geothermal_ME,CO2,1,2023,0.138888885
EL61,Geothermal_ME,CO2,1,2025,0.138888885
EL61,Geothermal_ME,CO2,1,2030,0.138888885
EL61,Geothermal_ME,CO2,1,2035,0.138888885
EL61,Geothermal_ME,CO2,1,2040,0.138888885
EL61,Geothermal_ME,CO2,1,2045,0.138888885
EL61,Geothermal_ME,CO2,1,2050,0.138888885
EL62,Gas_CCS,CO2,1,2023,0.0102
EL62,Gas_CCS,CO2,1,2025,0.0102
EL62,Gas_CCS,CO2,1,2030,0.0102
EL62,Gas_CCS,CO2,1,2035,0.0102
EL62,Gas_CCS,CO2,1,2040,0.0102
EL62,Gas_CCS,CO2,1,2045,0.0102
EL62,Gas_CCS,CO2,1,2050,0.0102
EL62,Geothermal_HI,CO2,1,2023,0.138888885
EL62,Geothermal_HI,CO2,1,2025,0.138888885
EL62,Geothermal_HI,CO2,1,2030,0.138888885
EL62,Geothermal_HI,CO2,1,2035,0.138888885
EL62,Geothermal_HI,CO2,1,2040,0.138888885
EL62,Geothermal_HI,CO2,1,2045,0.138888885
EL62,Geothermal_HI,CO2,1,2050,0.138888885
EL62,Geothermal_ME,CO2,1,2023,0.138888885
EL62,Geothermal_ME,CO2,1,2025,0.138888885
EL62,Geothermal_ME,CO2,1,2030,0.138888885
EL62,Geothermal_ME,CO2,1,2035,0.138888885
EL62,Geothermal_ME,CO2,1,2040,0.138888885
EL62,Geothermal_ME,CO2,1,2045,0.138888885
EL62,Geothermal_ME,CO2,1,2050,0.138888885
EL63,Gas_CCS,CO2,1,2023,0.0102
EL63,Gas_CCS,CO2,1,2025,0.0102
EL63,Gas_CCS,CO2,1,2030,0.0102
EL63,Gas_CCS,CO2,1,2035,0.0102
EL63,Gas_CCS,CO2,1,2040,0.0102
